objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Minute Heist: The Wizard's Tower","194789","0","0","0","1","0","0","0","0","0","0","0","3","","Game Play: 
Our Rating: 
Thoughts: ","","","","53920787","5.81054","6.39489","1.2069","4733","2440","thing","10 Minute Heist: The Wizard's Tower","2","5","10","10","10","2017","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"12 Days","130899","0","0","0","1","0","0","0","0","0","0","0","3","","Small 3–5 Players, 15 Min, Age: 8+","","","","32084807","5.90946","6.52853","1.1972","3843","3717","thing","12 Days","3","5","15","15","15","2011","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"13 Dead End Drive","1899","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083243","5.75447","6.11777","1.3857","5458","6778","thing","13 Dead End Drive","2","4","45","45","45","1993","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"20 Questions","3377","0","0","0","0","0","0","0","0","1","0","0","3","","electronic","","","","51271654","5.54886","5.7954","1.2958","13642","1927","thing","20 Questions","2","7","30","30","30","1988","3,4,5,6,7","4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"25 Words or Less","621","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","32083251","5.72603","6.58213","1.5098","5921","1137","thing","25 Words or Less","4","99","35","35","20","1996","4,6,8,10","4,6,8","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Ring Circus","371947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141476395","6.39803","7.1438","2.76","1611","6769","thing","3 Ring Circus","1","4","75","75","45","2023","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"3 Wishes","198836","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","80012961","5.45466","5.38549","1.1481","30696","2390","thing","3 Wishes","3","5","5","5","3","2016","3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"5 Second Rule","86073","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","57884116","5.43776","5.48524","1.0988","30912","7153","thing","5 Second Rule","3","6","30","30","20","2010","3,4,5,6","4,5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"5-Minute Dungeon","207830","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","45640914","6.58018","6.8931","1.1316","1156","24115","thing","5-Minute Dungeon","2","5","30","30","5","2017","2,3,4,5","4,5","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"5ive Straight","369","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","130508055","5.58846","6.31863","1.6774","10175","583","thing","5ive Straight","2","9","20","20","20","1958","2,3,4,6","3,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
